Region;Country;Sales_Reps;First _Name;Last _Name;Gender;Age;Rank _Levels;Stores;Products;Years;N_Months;Revenue;Months
Asia;Hong Kong;Louis N.;Louis;Ng;Male;44;A1;Store 1;Smartphones;2019;January;700693.9857;201901
Asia;Hong Kong;Louis N.;Louis;Ng;Male;44;A1;Store 1;Laptops;2019;January;161814.2566;201901
Asia;Hong Kong;Louis N.;Louis;Ng;Male;44;A1;Store 1;Assessories;2019;January;110696.2618;201901
Asia;Hong Kong;Louis N.;Louis;Ng;Male;44;A1;Store 1;Tablets;2019;January;114058.1021;201901
Asia;Hong Kong;Winnie C.;Winnie;Cheung;Female;35;C3;Store 2;Smartphones;2019;January;188219.5089;201901
Asia;Hong Kong;Winnie C.;Winnie;Cheung;Female;35;C3;Store 2;Laptops;2019;January;5419.64632;201901
Asia;Hong Kong;Winnie C.;Winnie;Cheung;Female;35;C3;Store 2;Assessories;2019;January;49997.63963;201901
Asia;Hong Kong;Winnie C.;Winnie;Cheung;Female;35;C3;Store 2;Tablets;2019;January;8780.160234;201901
Asia;Hong Kong;Edson L.;Edson;Lau;Male;28;D5;Store 5;Smartphones;2019;January;286032.8903;201901
Asia;Hong Kong;Edson L.;Edson;Lau;Male;28;D5;Store 5;Laptops;2019;January;20691.10448;201901
Asia;Hong Kong;Edson L.;Edson;Lau;Male;28;D5;Store 5;Assessories;2019;January;61990.98482;201901
Asia;Hong Kong;Edson L.;Edson;Lau;Male;28;D5;Store 5;Tablets;2019;October;5970.165085;201910
Asia;Japan;Toshiro T.;Toshiro;Takuji;Male;36;B2;Store 4;Smartphones;2019;January;226354.1461;201901
Asia;Japan;Toshiro T.;Toshiro;Takuji;Male;36;B2;Store 4;Laptops;2019;January;16343.1403;201901
Asia;Japan;Toshiro T.;Toshiro;Takuji;Male;36;B2;Store 4;Assessories;2019;January;7054.195107;201901
Asia;Japan;Toshiro T.;Toshiro;Takuji;Male;36;B2;Store 4;Tablets;2019;January;1705.678536;201901
Asia;Japan;Yui M.;Yui;Matsuko;Female;32;D4;Store 3;Smartphones;2019;January;201040.7556;201901
Asia;Japan;Yui M.;Yui;Matsuko;Female;32;D4;Store 3;Laptops;2019;January;11803.95316;201901
Asia;Japan;Yui M.;Yui;Matsuko;Female;32;D4;Store 3;Assessories;2019;January;7381.968499;201901
Asia;Japan;Yui M.;Yui;Matsuko;Female;32;D4;Store 3;Tablets;2019;January;9016.565415;201901
Asia;Singapore;Andrew T.;Andrew;Tan;Male;45;A1;Store 1;Smartphones;2019;January;1325327.793;201901
Asia;Singapore;Andrew T.;Andrew;Tan;Male;45;A1;Store 1;Laptops;2019;January;76033.78095;201901
Asia;Singapore;Andrew T.;Andrew;Tan;Male;45;A1;Store 1;Assessories;2019;January;209901.7644;201901
Asia;Singapore;Andrew T.;Andrew;Tan;Male;45;A1;Store 1;Tablets;2019;January;38728.19651;201901
Asia;Singapore;Jason W.;Jason;Wong;Male;38;B2;Store 4;Smartphones;2019;January;272933.1303;201901
Asia;Singapore;Jason W.;Jason;Wong;Male;38;B2;Store 4;Laptops;2019;January;17343.74073;201901
Asia;Singapore;Jason W.;Jason;Wong;Male;38;B2;Store 4;Assessories;2019;January;24268.41631;201901
Asia;Singapore;Jason W.;Jason;Wong;Male;38;B2;Store 4;Tablets;2019;January;23492.18525;201901
Asia;Singapore;Michelle L.;Michelle;Lim;Female;29;D5;Store 5;Smartphones;2019;January;226446.5761;201901
Asia;Singapore;Michelle L.;Michelle;Lim;Female;29;D5;Store 5;Laptops;2019;January;19026.59062;201901
Asia;Singapore;Michelle L.;Michelle;Lim;Female;29;D5;Store 5;Assessories;2019;January;47629.91837;201901
Asia;Singapore;Michelle L.;Michelle;Lim;Female;29;D5;Store 5;Tablets;2019;January;1174.29764;201901
Asia;Taiwan;Dennis C.;Dennis;Cheng;Male;35;B2;Store 4;Smartphones;2019;January;134143.0086;201901
Asia;Taiwan;Dennis C.;Dennis;Cheng;Male;35;B2;Store 4;Laptops;2019;January;12641.9828;201901
Asia;Taiwan;Dennis C.;Dennis;Cheng;Male;35;B2;Store 4;Assessories;2019;January;94934.65377;201901
Asia;Taiwan;Dennis C.;Dennis;Cheng;Male;35;B2;Store 4;Tablets;2019;January;22272.3745;201901
Asia;Taiwan;Aaron C.;Aaron;Cheng;Male;32;D4;Store 3;Smartphones;2019;January;106203.6754;201901
Asia;Taiwan;Aaron C.;Aaron;Cheng;Male;32;D4;Store 3;Laptops;2019;January;3929.237946;201901
Asia;Taiwan;Aaron C.;Aaron;Cheng;Male;32;D4;Store 3;Assessories;2019;January;31859.51123;201901
Asia;Taiwan;Aaron C.;Aaron;Cheng;Male;32;D4;Store 3;Tablets;2019;January;1681.244793;201901
U.K.;England;Jansen B.;Jansen;Brown;Male;46;A1;Store 1;Smartphones;2019;January;489705.6638;201901
U.K.;England;Jansen B.;Jansen;Brown;Male;46;A1;Store 1;Laptops;2019;January;11870.76481;201901
U.K.;England;Jansen B.;Jansen;Brown;Male;46;A1;Store 1;Assessories;2019;January;18196.6777;201901
U.K.;England;Jansen B.;Jansen;Brown;Male;46;A1;Store 1;Tablets;2019;January;9986.110181;201901
U.K.;England;Claire P.;Claire;Pullman;Female;38;B2;Store 4;Smartphones;2019;January;107603.7783;201901
U.K.;England;Claire P.;Claire;Pullman;Female;38;B2;Store 4;Laptops;2019;January;9966.589577;201901
U.K.;England;Claire P.;Claire;Pullman;Female;38;B2;Store 4;Assessories;2019;January;6552.937054;201901
U.K.;England;Claire P.;Claire;Pullman;Female;38;B2;Store 4;Tablets;2019;January;6319.581641;201901
U.K.;England;Simon W.;Simon;Walsh;Male;25;D5;Store 5;Smartphones;2019;January;224499.0781;201901
U.K.;England;Simon W.;Simon;Walsh;Male;25;D5;Store 5;Laptops;2019;January;19773.85206;201901
